experiment_id,status,error,magnification,seeding_density,virus,cargo,dose_vg/well,image_time_h,receptor,bf_file,r_file,g_file,bf_area,r_area,r_intensity,r_filter,g_area,overlapping_area,overlap_r,overlap_g,g_intensity_all,g_intensity_overlap
26,ok,,4x,50000,AAV9,EGFP,50000000000.0,48,EGFRvIII,Image076.tif,Image077.tif,Image078.tif,152397,9232,0.16142105889149422,False,13927,1846,0.19995667244367418,0.13254828749910247,0.2530776021186101,0.3566418116542392
27,ok,,4x,50000,AAV9,EGFP,50000000000.0,48,EGFRvIII,Image079.tif,Image080.tif,Image081.tif,130534,9545,0.1715453116815086,False,15958,2321,0.2431639601885804,0.1454442912645695,0.2793057265518064,0.33178565695989726
28,ok,,4x,50000,AAV9,EGFP,25000000000.0,48,EGFRvIII,Image082.tif,Image083.tif,Image084.tif,141676,9121,0.1425935838648583,False,10187,592,0.06490516390746628,0.0581132816334544,0.18622773738925236,0.22447005829358768
29,ok,,4x,50000,AAV9,EGFP,25000000000.0,48,EGFRvIII,Image085.tif,Image086.tif,Image087.tif,128533,8969,0.1857080707185316,False,11655,2659,0.29646560374623704,0.22814242814242813,0.23360537007595833,0.3288528047548467
30,ok,,4x,50000,AAV9,EGFP,25000000000.0,48,EGFRvIII,Image088.tif,Image089.tif,Image090.tif,136607,8304,0.17108976538592316,False,10777,928,0.11175337186897881,0.08610930685719588,0.192428683452596,0.22202924273157537
31,ok,,4x,50000,AAV9,EGFP,5000000000.0,48,EGFRvIII,Image091.tif,Image092.tif,Image093.tif,161285,12193,0.183713252380424,False,8958,970,0.07955384236857213,0.1082830989060058,0.12558738163718267,0.1221629270264807
32,ok,,4x,50000,AAV9,EGFP,5000000000.0,48,EGFRvIII,Image094.tif,Image095.tif,Image096.tif,113765,7493,0.1581193427591242,False,7065,1441,0.1923128253036167,0.20396319886765746,0.12103687051607623,0.1235198867888585
33,ok,,4x,50000,AAV9,EGFP,5000000000.0,48,EGFRvIII,Image097.tif,Image098.tif,Image099.tif,123163,10527,0.1884625342489993,False,9131,1908,0.18124821886577372,0.2089584930456686,0.12669316549311652,0.13357380688124304
34,ok,,4x,50000,AAV9,EGFP,2500000000.0,48,EGFRvIII,Image100.tif,Image101.tif,Image102.tif,153473,10418,0.16382731245694668,False,6049,456,0.04377039738913419,0.07538436105141345,0.1196587347122681,0.12005503955968354
35,ok,,4x,50000,AAV9,EGFP,2500000000.0,48,EGFRvIII,Image103.tif,Image104.tif,Image105.tif,105604,5962,0.13507508337115456,False,6590,1198,0.20093928212009393,0.18179059180576632,0.13603261031271383,0.14051196438508623
36,ok,,4x,50000,AAV9,EGFP,2500000000.0,48,EGFRvIII,Image106.tif,Image107.tif,Image108.tif,119790,7735,0.14903735249756014,False,5887,787,0.10174531351001939,0.13368438933242738,0.12685978077318916,0.12765777213045318
37,ok,,4x,50000,AAV9,EGFP,50000000000.0,48,Control,Image109.tif,Image110.tif,Image111.tif,109750,0,0.011764705882352944,True,14089,0,,0.0,0.2670722118075707,
38,ok,,4x,50000,AAV9,EGFP,50000000000.0,48,Control,Image112.tif,Image113.tif,Image114.tif,103223,0,0.011764705882352943,True,11708,0,,0.0,0.26158651366252006,
39,ok,,4x,50000,AAV9,EGFP,50000000000.0,48,Control,Image115.tif,Image116.tif,Image117.tif,123840,0,0.012309881918730177,True,16286,0,,0.0,0.2912965063220425,
40,ok,,4x,50000,AAV9,EGFP,25000000000.0,48,Control,Image118.tif,Image119.tif,Image120.tif,104927,0,0.010855829651943028,True,14225,0,,0.0,0.18119631965264138,
41,ok,,4x,50000,AAV9,EGFP,25000000000.0,48,Control,Image121.tif,Image122.tif,Image123.tif,107693,0,0.011764705882352943,True,12732,0,,0.0,0.19124361651666635,
42,ok,,4x,50000,AAV9,EGFP,25000000000.0,48,Control,Image124.tif,Image125.tif,Image126.tif,107043,0,0.011291952884873243,True,7458,0,,0.0,0.20178200537388458,
43,ok,,4x,50000,AAV9,EGFP,5000000000.0,48,Control,Image127.tif,Image128.tif,Image129.tif,85351,0,0.01176915664688302,True,8997,0,,0.0,0.13237004927568446,
44,ok,,4x,50000,AAV9,EGFP,5000000000.0,48,Control,Image130.tif,Image131.tif,Image132.tif,100292,0,0.011549496726816757,True,10010,0,,0.0,0.13411803882392115,
45,ok,,4x,50000,AAV9,EGFP,5000000000.0,48,Control,Image133.tif,Image134.tif,Image135.tif,106671,0,0.011764705882352944,True,8732,0,,0.0,0.12617462926535708,
46,ok,,4x,50000,AAV9,EGFP,2500000000.0,48,Control,Image136.tif,Image137.tif,Image138.tif,88097,0,0.011817029942700025,True,3645,0,,0.0,0.13230049221334622,
47,ok,,4x,50000,AAV9,EGFP,2500000000.0,48,Control,Image139.tif,Image140.tif,Image141.tif,105696,0,0.011768217865899301,True,5323,0,,0.0,0.13535121356451651,
48,ok,,4x,50000,AAV9,EGFP,2500000000.0,48,Control,Image142.tif,Image143.tif,Image144.tif,98154,0,0.011764705882352943,True,4256,0,,0.0,0.12822220993660624,
